"Reference","Value","Datasheet","Footprint","Qty","DNP"
"D1","blue","","Soldered footprints:0402LED","1",""
"D2","M4_DIODA","","Soldered footprints:M4_DIODA","1",""
"D3","purple","","Soldered footprints:0402LED","1",""
"DM1","SKU: 700022 ","","Soldered footprints:PCB","1",""
"K1","SRD-05VDC-SL-C","","Soldered footprints:SRD_RELAY_5V","1",""
"K2","HEADER_MALE_3X1","","Soldered footprints:HEADER_MALE_3X1","1",""
"K3","TERMINAL_KF235-5.0-3P","","Soldered footprints:TERMINAL_KF235-5.0-3P","1",""
"Q1","NPN","","Soldered footprints:SOT-23-3","1",""
"R1","100R","","Soldered footprints:0603R","1",""
"R2,R5","2k2","","Soldered footprints:0402R","2",""
"R3","330R","","Soldered footprints:0603R","1",""
"R4","10R","","Soldered footprints:0603R","1",""
"U1","PC357_OPTO","","Soldered footprints:PC357_OPTO","1",""
